subject,first_message,actual_label,predicted_label,match,potential_mislabel
38556826: Re: Jouw bestelling is verzonden!,"Goedemorgen, 

Meer dan een week geleden is de deurmat die we bij jullie hebben besteld op de post gegaan, helaas hebben we nog niks ontvangen. 
Wanneer mogen we het verwachten? 

Mvg, 

Joanneke Duit",Special Request,Order Delay,False,True
38497638: Hondenjas past niet,"Ik heb van jullie een hondenjas ontvangen en betaald . 
Het past helemaal niet, de rits kan niet dicht. 
ik wil graag terugsturen en ruilen voor een grotere maat. 
#19024 
Hoe kan ik dat doen? 
Met vr",Return Order,Return Order,True,False
38473261: Klacht,"Geachte heer/mevrouw, 
Onlangs heb ik bij u een bestelling geplaatst (bestelnummer #17978). Helaas moet ik u laten weten dat het product inmiddels al kapot is gegaan, terwijl het nog maar kort in gebr",Order Delay,Bad Product Quality,False,True
38455822: Bestelling #20069,"Beste heer/mevrouw, 

Graag wil ik bestelling 20069 annuleren 

Met vriendelijke groeten, 

Marieke van Buren",Cancel Order,Cancel Order,True,False
38454445: Bestelling hondentuig,"Goedemiddag,

Ik heb twee tuigjes besteld voor onze honden Tommie en Bobbie.
Voor de zekerheid Tommie op de L maat en Bobbie op de M maat

Met vriendelijke groeten,

Ria van Buren
Verstuurd va",Order Delay,Other,False,True
38452192: Re: Belangrijk nieuws over je bestelling #19984,"Ik heb nog niks mogen ontvangen 

Op 23 jan 2026 09:32 schreef Info | Mivero <info@mivero.nl>: 

Deze e-mail bevat informatie over je bestelling ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏",Order Delay,Order Delay,True,False
38440061: Re: Jouw bestelling is verzonden!,"Hallo waar blijf mij bestelling staat al sins afgelopen zonda als verzonden maar heb nog niks ontvangen track and trace werkt ook niet 
 
Graag duidelijkheid? En wanneer komt deze nu bij mij binnen? 
",Order Delay,Order Delay,True,False
38438330: Nieuw klantbericht op 23 januari 2026 om 10:40,"Nieuw klantbericht op 23 januari 2026 om 10:40   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: BE 
 Name: Chris De Weerdt 
 E-mail: chrisdeweerdt23@gma",Return Order,Wrong Order,False,True
38427070: Retour 19558,"Hoi,

Ik zou graag mijn bestelling 19558 retourneren, maar ook ineens hetzelfde product een maatje groter bestellen.
Kunnen we dat in 1x doen of hou ik de retour en nieuwe bestelling beter apart?
",Return Order,Return Order,True,False
38338984: Retour,"Ik wil de riem retour sturen omdat hij veel te grof is.
Dit is niet voor een hondje van 10kg.
Waar moet ik het naar toe sturen?

Mvg
A. Van Uden 
Patrijzenveld 40 
5431JN Cuijk 
Verstuurd vana",Return Order,Return Order,True,False
38319498: Re: Bestelling #19509 bevestigd,"Goedenavond, 

Tot nu toe is er nog niets afgeleverd. Duurt wel erg lang. Volgens de eerdere track and trace zou deze vorige week en uiterlijk maandag bezorgd worden. 

Graag hoor ik van jullie. 

Met",Order Delay,Order Delay,True,False
38297744: Re: Jouw bestelling is verzonden!,"Nog steeds niks binnen 
En je kunt verzending niet volgen 
Graag bericht hierover 

Op za 10 jan. 2026 21:05 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (ht",Order Delay,Order Delay,True,False
38259135: Bestelling,"Hallo, ik bestelde een hondemandje/ bedje. 
ik wou kijken op jullie info ivm leveringstijd doch die site is niet bereikbaar. 
een probleempje of een foutje? 
Ik hoor het (misschien) wel. Mvgr chris ba",Order Delay,Order Delay,True,False
38251988: ,Hoe lang duurt de verzending???,Order Delay,Shipping Question,False,True
38251170: Nieuw klantbericht op 22 januari 2026 om 13:45,"Nieuw klantbericht op 22 januari 2026 om 13:45   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: BE 
 Name: van malleghem katrien 
 E-mail: katrien.van.m",Order Delay,Order Delay,True,False
38220930: Nieuw klantbericht op 22 januari 2026 om 10:42,"Nieuw klantbericht op 22 januari 2026 om 10:42   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Memari 
 E-mail: s.memari20@gmail.coms 
 Phon",Order Delay,Order Delay,True,False
38205865: Nieuw klantbericht op 22 januari 2026 om 09:24,"Nieuw klantbericht op 22 januari 2026 om 09:24   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: 158355113 van der Velde de Jong 
 E-mail: pvd",Order Delay,Order Delay,True,False
38202502: Re: Bestelling #19676 bevestigd,"Hallo, 

Ik ontving gisteren avond mijn bestelling maar vond het tuig toch iets te strak zitten (heb het niet gebruikt om te wandelen, enkel gepast op de grootste stand). Is het mogelijk om dit te rui",Return Order,Return Order,True,False
38199979: Bestelling volgen,"Bestelling volgen
-------------------------------
Ik vroeg me af wanneer ik mijn bestelling kreeg",Order Delay,Order Delay,True,False
38199980: Graag update status bestelling,"Beste Mivero, 
 
Zouden jullie me een update willen sturen over de verwachte levertijd van onderstaande bestelling? De gestuurde trackinggegevens werken niet en ik zou graag weten wanneer ik de produc",Order Delay,Order Delay,True,False
38199850: Re: Jouw bestelling is verzonden!,"Goedendag, 

Onderstaande bestelling heb ik nog niet ontvangen en ik kan ook niet zien waar het pakket is. Weten jullie dat? 

Mvg Anna Winkels 

Op 10 jan 2026 om 17:24 heeft Mivero <info@mivero.nl> ",Order Delay,Order Delay,True,False
38196064: Re: Bestelling #19760 bevestigd,"Goedemorgen, 
Ik heb nog steeds niets ontvangen en de app van bezorging werkt niet, kunt u dat nakijken? Het gaat niet goed. 
Met dank en hartelijke groet, Marijke Verhoeven 

Verstuurd vanaf mijn iPh",Order Delay,Order Delay,True,False
38194422: Re: Je bestelling met nummer #18946 is onderweg!,"Hallo , ik heb deze al ontvangen 
Mvg 
De Winne Dorine Van: Info | Mivero <info@mivero.nl> Verzonden: dinsdag 20 januari 2026 15:37 Aan: Dorine De winne <doortje_hayka@hotmail.com> Onderwerp: Je beste",Order Delay,Other,False,True
38141540: Bestelling #19884,"Nataliia Sapunzhyiska 
Geachte heer/mevrouw, 
Op 17 januari heb ik een bestelling geplaatst met bestelnummer #19884. Vandaag is het 21 januari, maar ik heb mijn bestelling nog niet ontvangen. 
Ik woon",Order Delay,Order Delay,True,False
38137964: Waar blijft mijn bestelling van vorig jaar?,"Goedenavond 

Heb tot op heden niets vernomen van mijn bestelling. 
Order nummer Other trackingnummer: SP0117489061975006 (https://mivero.nl/_t/c/v3/AADrVxNLljLjJWLkNxofgRbEYL5vnD3MnMtGKqi4-_al8L2YHld",Order Delay,Lost Order,False,True
38111410: Nieuw klantbericht op 21 januari 2026 om 17:43,"Nieuw klantbericht op 21 januari 2026 om 17:43   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Mirjam Smit 
 E-mail: chrijam@hotmail.com 
 P",Product Question,Product Question,True,False
38090982: Levering,"Goedemiddag, 
Mijn bestelling is nog steeds niet geleverd 
Maar trackingscode werkt niet meer 
Bestelnummer #19538 

Mvg 
Marjolein van Oosten",Order Delay,Order Delay,True,False
38089474: Nieuw klantbericht op 21 januari 2026 om 16:03,"Nieuw klantbericht op 21 januari 2026 om 16:03   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: BE 
 Name: Renilde Alaerts 
 E-mail: renilde.alaerts@tel",Order Delay,Order Delay,True,False
38088109: Nieuw klantbericht op 21 januari 2026 om 15:57,"Nieuw klantbericht op 21 januari 2026 om 15:57   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Yvonne Verkuijlen 
 E-mail: Cleo1126@kpnmail.",Order Delay,Special Request,False,True
38068465: PULLEASY,"Helaas hebben wij onze bestelling nog steeds niet binnen. 
Deze besteld op 16-01 2026 . 
Graag vernemen wij hoe het hiermee staat, 
Met vriendelijke groeten , 
Rob Jansen 
0654753413",Order Delay,Order Delay,True,False
38060080: ,"Goedendag, 

Wanneer kan ik mijn bestelling verwachten? Het tracking nummer doet het niet. 

Hoor het graag. 

MVG, 
A vd Brand",Order Delay,Order Delay,True,False
38054673: RE: Jouw bestelling is verzonden!,"Goedendag 

Deze bestelling is nog niet binnen en de link om de bestelling te volgen werk niet. 
Kunnen jullie mij hier duidelijkheid over geven? 

Met vriendelijke groet 
M. Bramsen 

Verzonden vanaf",Order Delay,Order Delay,True,False
38050465: Re: Jouw bestelling is verzonden!,"Goedemiddag. 

Kunt u me zeggen wanneer ik mijn pakket ontvang. 
Als ik klik op pakket volgen krijg ik te lezen dat de site niet bestaat. 

Mvrgr 
Karin Boog 

Op ma 12 jan 2026, 23:08 schreef Mivero ",Order Delay,Order Delay,True,False
38036439: Re: Jouw bestelling is verzonden!,"Goedemorgen, weet u wanneer wij deze bestelling kunnen verwachten? Hebben deze een week geleden besteld!! Mvg m de Kruijff 

Verstuurd vanaf mijn iPhone 
Op 14 jan 2026 om 17:01 heeft Mivero <info@miv",Order Delay,Order Delay,True,False
38023750: Re: Jouw bestelling is verzonden!,"Goedemorgen 
Ik heb mijn bestelling nog steeds niet ontvangen. Graag ontvang ik een update over de levering of het aankoopbedrag retour op mijn rekening. 
Met vriendelijke groet 
Nicole van Elsen Lage",Order Delay,Order Delay,True,False
38018545: Klacht Bestelling #19178,"Beste, 

Vorige week heb ik eindelijk de 2 speelballen binnen gekregen. Gelijk de eerste opgeladen, en opgeladen en nog maar eens opgeladen. Na 1 dag de andere maar eens opgeladen en ja die deed het. ",Damaged Item,Bad Product Quality,False,True
38013811: Re: Jouw bestelling is verzonden!,"Hallo 

Ik kan mijn bestelling niet volgen 
Het tracking nummer klopt niet 

Gr Wilma 

Verstuurd vanaf mijn iPhone 
Op 15 jan 2026 om 15:52 heeft Mivero <info@mivero.nl> het volgende geschreven: 

﻿ ",Order Delay,Order Delay,True,False
38008307: Nieuw klantbericht op 21 januari 2026 om 05:27,"Nieuw klantbericht op 21 januari 2026 om 05:27   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Erica Matray 
 E-mail: erica.matray@icloud.co",Order Delay,Order Delay,True,False
37977085: Re: Jouw bestelling is verzonden!,"Goedenavond, 

Geen van de trackingnummers werkt. Ik kan geen geldige url openen. Kunnen jullie nog een trackingnummer sturen? 

Groeten, 

Jeny Timmer 

Op di 20 jan 2026, 9:09 p.m. schreef Mivero < ",Order Delay,Order Delay,True,False
37939551: RE: Jouw bestelling is verzonden!,"Goedenavond, 
Heb je een idee waar deze 2 bestellingen zijn gebleven? 

Ze zijn al even onderweg. 
Ik hoor graag van u. 

Met vr groet, 
Marleen Wilbrink 

Verzonden vanaf mijn Galaxy 

 
-------- Oor",Order Delay,Order Delay,True,False
37926145: Re: Bestelling #19622 bevestigd,"Beste, 

De deurmat is vandaag aangekomen, maar het Padded Anti Trek hoofdharnas heb ik nog niet ontvangen. Kunnen jullie me hierover op de hoogte houden? 

Met vriendelijke groeten, 
Sabine Gillis 

",Order Delay,Missing Item,False,True
37903608: Update van uw bestelling - #19880,"Beste Ronny,

Hartelijk dank voor je bestelling bij Mivero! We nemen even contact met je op in verband met je bestelling #19880 voor de CleanPaw hondenjas in maat 3XL.

Helaas moeten we je laten weten",Order Delay,Wrong Order,False,True
37902597: Hondentrek riem,"Hoi, 

Ik heb een antitrek riem bij jullie besteld. 
Het is toch niet ideaal voor onze hond. 
Graag wil ik het dan ook retour sturen. 
Hopelijk kan dit. 

Groetjes Maaike",Return Order,Return Order,True,False
37900008: Re: Bestelling #19815 bevestigd,"Goedemiddag ik heb vorige week donderdag 2 honden jasjes besteld , maar als ik track and trace doe dan staat er not found . Dus waar is mijn bestelling? 

Met vriendelijke groet Annemarie Bleeker 

Ve",Order Delay,Order Delay,True,False
